name,id,group,Rank,Rating,Reviews,Min Installs,Price,Rank Change (week)
Monster Warlord,0,Adventure,92,4.4,227706,10000000,0,-27
Shipwrecked: Lost Island,0,Simulation,93,4.23,156214,5000000,0,-10
Bubble Witch Saga,0,Casual,94,4.16,212518,10000000,0,6
Bingo Fever - Free Bingo Game,0,Casino,95,4.07,41138,1000000,0,2
HellFire: The Summoning,0,Adventure,96,4.53,83125,5000000,0,-24
Kingdoms at War,0,Arcade,97,4.5,27108,1000000,0,20
Legend of the Cryptids,0,Card,98,4.09,15914,1000000,0,29
Pocket Knights,0,Arcade,99,3.92,9791,500000,0,-7
Dice With Buddies_†¢ Free,0,Board,100,4.45,68048,1000000,0,5
DragonVale,0,Family,101,4.34,132889,5000000,0,-33
My Singing Monsters,0,Simulation,102,4.43,103903,1000000,0,-15
Order & Chaos Online,0,Role Playing,103,4.3,70795,100000,6.99,66
War of Legions,0,Role Playing,104,4.13,7183,100000,0,-24
MLB.com At Bat,0,Sports,105,4.2,23058,1000000,0,-15
Despicable Me,0,Casual,106,4.52,3413695,100000000,0,-8
LINE: Free Calls & Messages,0,Communication,107,4.18,2991972,100000000,0,4
Titan Slots_†¢,0,Casino,108,4.32,32985,1000000,0,-9
War of Nations,0,Role Playing,109,3.79,14156,1000000,0,-2
Make It Rain: Love of Money,0,Casual,110,4.47,14931,100000,0,
High School Story,0,Simulation,111,4.12,159937,1000000,0,-1
Transformers Legends,0,Action,112,4.17,85164,5000000,0,28
Game of War - Fire Age,0,Strategy,113,4.17,6820,100000,0,
Covet Fashion - The Game,0,Casual,114,4.03,17670,500000,0,-4
Elemental Kingdoms (CCG),0,Card,115,3.88,22066,1000000,0,41
Ayakashi: Ghost Guild,0,Role Playing,116,4.41,79467,1000000,0,10
–Ç_•Ê_êÔç2 for Kakao,0,Puzzle,117,4.12,679902,5000000,0,9
Golf Star_†¢,0,Sports,118,4.43,190353,1000000,0,9
Empire:Rome Rising,0,Strategy,119,4.13,16785,500000,0,-25
My Talking Tom,0,Casual,120,4.4,2220482,50000000,0,-3
ETERNITY WARRIORS 3,0,Action,121,4.36,287444,1000000,0,0
Marvel Comics,0,Comics,122,4.12,18845,5000000,0,3
The Secret Societyëå,0,Adventure,123,4.4,226477,1000000,0,-10
Battle Islands,0,Strategy,124,3.88,28827,500000,0,36
Clumsy Ninja,0,Family,125,4.39,171511,1000000,0,36
Dungeon Keeper,0,Strategy,126,3.98,51164,500000,0,-4
