name,id,group,Rank,Rating,Reviews,Min Installs,Price,Rank Change (week)
Slots Romance: NEW SLOTS GAME,0,Casino,391,4.62,1649,10000,0,
Monsterama Planet,0,Simulation,392,4.34,29481,1000000,0,82
Shall we date?: Mononoke Kiss+,0,Adventure,393,4.48,3574,50000,0,19
Slots Casino Party_†¢,0,Casino,394,3.88,54083,1000000,0,35
Castle Defense,0,Strategy,395,4.29,115330,10000000,0,4
Workout Trainer,0,Health & Fitness,396,4.3,58849,5000000,0,-31
Lords & Knights - Strategy MMO,0,Strategy,397,4.19,28149,1000000,0,45
Fish Live,0,Family,398,4.45,295342,10000000,0,1
Slot Casino - Slot Machines,0,Board,399,4.42,97381,10000000,0,-42
Keeperëå Password & Data Vault,0,Tools,400,4.37,29875,1000000,0,-10
Grand Theft Auto: Vice City,0,Arcade,401,3.98,35071,500000,4.99,13
Assistant,0,Lifestyle,402,4.59,305256,5000000,0,40
Cats & Dogs Casino -FREE Slots,0,Casino,403,4.51,10714,100000,0,8
Panda Jam,0,Puzzle,404,4.13,34605,1000000,0,48
Armed Heroes(BGI),0,Arcade,405,3.94,13515,100000,0,79
Slots_†¢ - Bonanza slot machines,0,Casino,406,4.21,9916,100000,0,29
HotSchedules,0,Productivity,407,2.84,5588,100000,2.99,-11
SlingPlayer for Phones,0,Entertainment,408,4.32,10305,100000,14.99,-11
Pocket Fort,0,Strategy,409,4.38,13128,500000,0,
Hidden Object: Mystery Estate,0,Puzzle,410,4.17,61282,1000000,0,
TMNT: ROOFTOP RUN,0,Action,411,3.89,3427,50000,3.99,77
Justin.tv,0,Entertainment,412,3.14,1295,10000,4.99,-9
Caller Id Faker,0,Communication,413,4.51,5590,100000,0,-52
Slots Farm - slot machines,0,Casino,414,4.35,10927,1000000,0,-32
Fairway Solitaire Blast,0,Card,415,4.02,10898,100000,0,-1
Garmin Pilot,0,Weather,416,3.77,369,10000,0,-6
FINAL FANTASY VI,0,Role Playing,417,4.54,9063,50000,15.99,-8
FINAL FANTASY IV,0,Role Playing,418,4.43,9920,100000,15.99,40
NYTimes - Breaking News,0,News & Magazines,419,3.75,31465,5000000,0,5
WIND RUNNER,0,Action,420,4.47,27441,100000,0,-54
Life is Crime,0,Casual,421,4.33,48168,1000000,0,
Word Chums,0,Word,422,4.84,38601,100000,0,15
Garden Mania 2,0,Casual,423,4.31,31565,1000000,0,-68
Six-Guns,0,Action,424,4.43,569684,10000000,0,44
Tap Paradise Cove,0,Casual,425,4.08,31530,1000000,0,-14
Farming Simulator 14,0,Simulation,426,4.25,12719,100000,2.99,-22
Mö_éng Hiö__p KhÕçch-Galaxy Fight,0,Casual,427,4.59,10875,100000,0,
Jackpot Bingo -Free Bingo Game,0,Casino,428,4.4,49295,1000000,0,-9
Cozi Family Calendar & Lists,0,Productivity,429,4.45,16844,1000000,0,-70
Charm King,0,Puzzle,430,4.63,11068,100000,0,
Gangstar Vegas,0,Action,431,3.93,38255,100000,2.99,
Lose It!,0,Health & Fitness,432,4.54,24827,1000000,0,-26
Mutants: Genetic Gladiators,0,Action,433,4.27,15465,100000,0,-36
Mathway,0,Education,434,4.2,7798,500000,0,21
Guardian Cross,0,Role Playing,435,3.72,6999,500000,0,29
"Casino Live - Poker, Slots",0,Casino,436,4.19,6490,500000,0,-6
Wonderland Epic_†¢ - Play Now!,0,Puzzle,437,4.02,5857,100000,0,-17
Emoji Keyboard - Emoticons(KK),0,Tools,438,4.21,44790,1000000,0,
Shall we date?: Destiny Ninja,0,Adventure,439,4.38,18122,500000,0,56
Slots of Fun - Free Slot Games,0,Casino,440,3.95,6253,500000,0,8
Ragnarok Valkyrie [English],0,Role Playing,441,4.46,58509,500000,0,
Fashion Story_†¢,0,Casual,442,4.25,186944,10000000,0,55
Plants vs. Zombies_†¢,0,Casual,443,3.94,26956,500000,0.99,-37
The Room Two,0,Puzzle,444,4.86,46065,100000,2.99,8
Threes!,0,Puzzle,445,4.59,16771,100000,1.99,
The Cinderella Contract,0,Simulation,446,4.3,5014,100000,0,134
Mini Golf MatchUp_†¢,0,Arcade,447,4.46,178672,1000000,0,4
GotchaWarriorsX,0,Strategy,448,4.27,51549,1000000,0,132
Clash of Slots,0,Casino,449,4.25,3457,100000,0,-19
3D MMO Celtic Heroes,0,Role Playing,450,4.2,2689,10000,0,
Slots - Journey of Magic,0,Casino,451,4.18,13512,1000000,0,-13
Fairy Kingdom HD,0,Strategy,452,4.37,18837,100000,0,-3
AutoRap by Smule,0,Music & Audio,453,4.09,64242,5000000,0,22
SAS: Zombie Assault 3,0,Action,454,4.39,112447,1000000,0,-33
Clear Vision 3 -Sniper Shooter,0,Action,455,4.34,222279,1000000,0,-24
MONOPOLY,0,Casual,456,3.75,11118,100000,1.99,41
Pet Shop Story_†¢,0,Casual,457,4.25,142305,10000000,0,33
OfficeSuite Pro 7 (PDF&Fonts),0,Business,458,4.37,31685,500000,14.99,38
Slots_†¢ - Vegas slot machines,0,Casino,459,4.2,5059,100000,0,
FL Studio Mobile,0,Music & Audio,460,4.12,3493,50000,19.99,-1
PrinterShare_†¢ Premium Key,0,Business,461,4.43,7776,100000,12.95,8
Titanium Backup PRO Key _É€ root,0,Tools,462,4.8,53244,500000,5.99,-35
Bubble Blaze,0,Casual,463,4.31,69018,5000000,0,
Clickfun Casino Slots,0,Card,464,4.19,8099,500000,0,-34
Montezuma Blitz Match 3 Puzzle,0,Arcade,465,4.06,28053,500000,0,60
Meez,0,Social,466,3.92,14676,500000,0,10
Teen Patti - Indian Poker,0,Casino,467,4.49,475313,5000000,0,-6
Littlest Pet Shop,0,Family,468,4.29,188328,10000000,0,45
Wipeout,0,Action,469,4.48,19680,100000,1.99,-31
Tower of Saviors,0,Puzzle,470,4.46,46939,1000000,0,59
Warspear Online MMORPG,0,Role Playing,471,4.26,52367,1000000,0,
Amazing Spider-Man 2 Live WP,0,Personalization,472,4.17,75983,5000000,0,
–‹ê•ôÔ•_ÎêóÑ–_â for Kakao,0,Simulation,473,4.34,285681,1000000,0,110
NQ Mobile Security & Antivirus,0,Productivity,474,4.38,225462,10000000,0,-7
Diner Dash,0,Family,475,3.96,60881,5000000,0,-19
SLOTS: Bible Slots Free,0,Casino,476,4.53,8613,500000,0,6
Pet Shop Story: Springtime,0,Simulation,477,4.01,15101,500000,0,87
Infinite Flight Simulator,0,Simulation,478,4.41,8126,100000,4.99,-12
Tasker,0,Tools,479,4.63,21896,500000,2.99,-13
Galaxy - Chat & Play,0,Social,480,4.28,36822,1000000,0,
Pou,0,Casual,481,4.41,4199735,100000000,0,47
FRONTLINE COMMANDO: D-DAY,0,Action,482,4.53,515506,10000000,0,30
Call of Mini_†¢ Infinity,0,Arcade,483,3.99,168045,1000000,0,39
Splashtop 2 Remote Desktop,0,Business,484,4.55,54593,1000000,0,1
Arcane Empires,0,Arcade,485,4.27,19400,1000000,0,
Burner - Disposable Numbers,0,Communication,486,3.99,1324,100000,0,
Happy Street,0,Casual,487,4.55,64284,1000000,0,168
Quiz RPG: World of Mystic Wiz,0,Role Playing,488,4.29,6889,100000,0,59
Invoice2go Plus - Invoice App,0,Business,489,4.3,2239,100000,0,29
BIG WIN Football,0,Sports,490,4.23,66268,5000000,0,
Dragon Friends,0,Simulation,491,4.53,4262,10000,0,
Magic 2014,0,Puzzle,492,4.19,20738,100000,0,15
"Zombies, Run!",0,Health & Fitness,493,4.33,7484,100000,3.99,42
Sword of King : Excalibur,0,Action,494,4.14,5684,100000,0,
Electro Girl (Card Battle),0,Arcade,495,3.83,4959,500000,0,
Anonymous Texting,0,Communication,496,3.83,2053,500000,0,
•__êµÎ•__êµÎ2014 for Kakao,0,Sports,497,4.37,277193,5000000,0,182
GPS Navigation by Sygic,0,Travel & Local,498,4.21,270882,10000000,0,72
The World of Magic,0,Role Playing,499,4.35,63392,1000000,0,33
SongPop,0,Music,500,4.59,319860,10000000,0,41
