rank,title,developer,version,price_usd,rating,votes,content_rating,category,min_installs,max_installs,updated,rank_change_day,rank_change_week,store_url
31,Puzzle & Dragons,GungHoOnlineEntertainment,6.4.3,$0.00 ,4.34,31239,Low Maturity,Puzzle,1000000,5000000,4/10/14,-2,19,https://play.google.com/store/apps/details?id=jp.gungho.padEN
32,Papa Pear Saga,King.com,Varies with device,$0.00 ,4.05,507014,Everyone,Casual,10000000,50000000,4/28/14,0,0,https://play.google.com/store/apps/details?id=com.midasplayer.apps.papapearsaga
33,CSR Classics,NaturalMotionGames Ltd,1.2.2,$0.00 ,4.45,178819,Low Maturity,Racing,1000000,5000000,4/9/14,2,4,https://play.google.com/store/apps/details?id=com.naturalmotion.csrclassics
34,Cookie Jam,SGN,1.1.94,$0.00 ,4.28,40350,Everyone,Puzzle,1000000,5000000,4/21/14,0,-3,https://play.google.com/store/apps/details?id=air.com.sgn.cookiejam.gp
35,DEER HUNTER 2014,Glu,2.1.0,$0.00 ,4.48,2190020,Medium Maturity,Action,10000000,50000000,4/24/14,0,0,https://play.google.com/store/apps/details?id=com.glu.deerhunt2
36,Star Wars Force Collection,KONAMI,2.0.1,$0.00 ,3.86,16387,Everyone,Strategy,500000,1000000,4/27/14,-2,-6,https://play.google.com/store/apps/details?id=jp.konami.swfc
37,Minecraft - Pocket Edition,Mojang,Varies with device,$6.99 ,4.52,381125,Low Maturity,Arcade,1000000,5000000,12/18/13,1,-1,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe
38,Marvel Puzzle Quest Dark Reign,D3Publisher,52.197655,$0.00 ,4.33,65048,Medium Maturity,Puzzle,1000000,5000000,5/5/14,-2,-3,https://play.google.com/store/apps/details?id=com.d3p.mpq
39,Jackpot Slots - Slot Machines,"GREE, INC",1.9.20,$0.00 ,4.4,177656,Medium Maturity,Casino,10000000,50000000,4/24/14,0,-1,https://play.google.com/store/apps/details?id=jp.gree.jackpot
40,Dark Summoner,Ateam Inc.,1.03.35,$0.00 ,4.35,44691,Medium Maturity,Role Playing,1000000,5000000,4/22/14,-1,7,https://play.google.com/store/apps/details?id=com.darksummoner
41,The Simsâ„¢ FreePlay,Electronic Arts Inc,2.9.7,$0.00 ,4.33,321011,Low Maturity,Simulation,5000000,10000000,5/7/14,-1,-5,https://play.google.com/store/apps/details?id=com.ea.games.simsfreeplay_na
42,Rage of Bahamut,Mobage,6.0.9,$0.00 ,3.77,51226,Medium Maturity,Arcade,5000000,10000000,11/25/13,-2,-1,https://play.google.com/store/apps/details?id=com.mobage.ww.a692.Bahamut_Android
43,Caesars Slots,Playtika,Varies with device,$0.00 ,4.26,46318,Medium Maturity,Casino,1000000,5000000,5/8/14,0,-6,https://play.google.com/store/apps/details?id=com.playtika.caesarscasino
44,Clash of Lords 2,IGG.COM,1.0.114,$0.00 ,4.6,185734,Medium Maturity,Strategy,1000000,5000000,4/30/14,-1,-4,https://play.google.com/store/apps/details?id=com.igg.clashoflords2
