rank,title,developer,version,price_usd,rating,votes,content_rating,category,min_installs,max_installs,updated,rank_change_day,rank_change_week,store_url
125,Clumsy Ninja,NaturalMotionGames Ltd,Varies with device,$0.00 ,4.39,171511,Everyone,Family,1000000,5000000,4/17/14,9,36,https://play.google.com/store/apps/details?id=com.naturalmotion.clumsyninja
126,Dungeon Keeper,Electronic Arts Inc,1.0.66,$0.00 ,3.98,51164,Medium Maturity,Strategy,500000,1000000,4/23/14,1,-4,https://play.google.com/store/apps/details?id=com.ea.game.dungeonkeeper_na
127,Happy Farm:Candy Day,Empire Game Studio,Varies with device,$0.00 ,4.18,365524,Low Maturity,Casual,10000000,50000000,5/8/14,3,11,https://play.google.com/store/apps/details?id=air.com.elextech.happyfarm
128,Fast & Furious 6: The Game,Kabam,4.0.1,$0.00 ,4.14,487722,Medium Maturity,Action,10000000,50000000,5/5/14,0,13,https://play.google.com/store/apps/details?id=com.kabam.ff6android
129,Valkyrie Crusade,Nubee Tokyo,2.2.2,$0.00 ,4.41,33058,High Maturity,Casual,1000000,5000000,4/7/14,19,25,https://play.google.com/store/apps/details?id=com.nubee.valkyriecrusade
130,Legend Online: New Era,FreeThought,4.4.0,$0.00 ,4.1,36747,Medium Maturity,Role Playing,1000000,5000000,5/7/14,-2,29,https://play.google.com/store/apps/details?id=com.legend.dragon
131,GO SMS Pro,GO Dev Team,5.44,$0.00 ,4.44,1358920,Low Maturity,Communication,50000000,100000000,5/8/14,0,5,https://play.google.com/store/apps/details?id=com.jb.gosms
132,Bloons TD 5,ninja kiwi,2.8,$2.99 ,4.62,40812,Everyone,Strategy,500000,1000000,4/17/14,3,-8,https://play.google.com/store/apps/details?id=com.ninjakiwi.bloonstd5
133,Virtual Families 2,"Last Day of Work, LLC",1.4.0.4,$0.00 ,4.18,126280,Everyone,Casual,1000000,5000000,4/26/14,6,19,https://play.google.com/store/apps/details?id=com.ldw.virtualfamilies2
134,SUMMON MASTERS,BiCORE,1.03,$0.00 ,4.34,66328,Medium Maturity,Role Playing,1000000,5000000,4/3/14,4,-7,https://play.google.com/store/apps/details?id=com.bicore.smastersgen
135,UNOâ„¢ & Friends,Gameloft,1.6.1c,$0.00 ,4.15,366385,Everyone,Card,10000000,50000000,4/9/14,-8,10,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftUOHM
136,Dragon Story: Springtime,TeamLava Games,1.0.7.7,$0.00 ,4.09,19300,Everyone,Casual,500000,1000000,3/19/14,2,26,https://play.google.com/store/apps/details?id=com.teamlava.dragon35
137,World at Arms,Gameloft,Varies with device,$0.00 ,4.32,337300,Medium Maturity,Strategy,10000000,50000000,4/2/14,-2,-21,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftMTHM
138,Animal Voyage:Island Adventure,Pocket Gems,1.20.2+g,$0.00 ,4.14,72964,Everyone,Casual,1000000,5000000,5/8/14,5,16,https://play.google.com/store/apps/details?id=com.pocketgems.android.animalvoyage
139,HonorBound (RPG),JuiceBox Games,1.91.33,$0.00 ,4.51,93732,Low Maturity,Role Playing,500000,1000000,5/7/14,3,19,https://play.google.com/store/apps/details?id=com.juiceboxgames.honorbound
140,Hill Climb Racing,Fingersoft,1.15.0,$0.00 ,4.45,2788166,Low Maturity,Racing,100000000,500000000,3/28/14,5,8,https://play.google.com/store/apps/details?id=com.fingersoft.hillclimb
141,FIFA 14 by EA SPORTSâ„¢,Electronic Arts Inc,1.3.4,$0.00 ,4.49,125308,Everyone,Sports,1000000,5000000,3/20/14,1,13,https://play.google.com/store/apps/details?id=com.ea.game.fifa14_na
142,The Amazing Spider-Man 2,Gameloft,1.0.1j,$4.99 ,4.08,10559,Medium Maturity,Action,50000,100000,5/9/14,5,18,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftASHM
143,MeetMe: Chat & Meet New People,MeetMe.com,8.3.1,$0.00 ,4.16,353470,Medium Maturity,Social,10000000,50000000,5/8/14,2,1,https://play.google.com/store/apps/details?id=com.myyearbook.m
144,Candy Blast Mania,TeamLava Games,1.1.3.22g,$0.00 ,4.15,21425,Everyone,Arcade,500000,1000000,5/8/14,2,-33,https://play.google.com/store/apps/details?id=com.teamlava.candy
145,The Price is Rightâ„¢ Slots,Ludia Inc.,1.13.5,$0.00 ,4.26,34437,Medium Maturity,Casino,1000000,5000000,4/23/14,0,-11,https://play.google.com/store/apps/details?id=com.ludia.tpirslots
146,Card Wars - Adventure Time,Cartoon Network,1.0.5,$3.99 ,4.26,16727,Everyone,Card,100000,500000,5/1/14,-4,12,https://play.google.com/store/apps/details?id=com.turner.cardwars
147,Texas HoldEm Poker Deluxe,IGG.COM,1.4.3,$0.00 ,4.6,283989,Medium Maturity,Casino,10000000,50000000,4/15/14,0,11,https://play.google.com/store/apps/details?id=com.igg.pokerdeluxe
148,The Tribez,GIGL,Varies with device,$0.00 ,4.49,561031,Low Maturity,Simulation,1000000,5000000,5/8/14,4,-35,https://play.google.com/store/apps/details?id=com.gameinsight.tribez
149,D.O.T. Defender of Texel (RPG),Mobage,2.8.2,$0.00 ,4.38,44712,Low Maturity,Arcade,1000000,5000000,1/15/14,-2,-3,https://play.google.com/store/apps/details?id=com.mobage.ww.a1257.Dot_Android
150,Jurassic Parkâ„¢ Builder,Ludia Inc.,4.1.11,$0.00 ,4.21,282368,Everyone,Simulation,10000000,50000000,3/31/14,-6,-9,https://play.google.com/store/apps/details?id=com.ludia.jurassicpark
151,Little Empire,Camel Games,1.18.1.1,$0.00 ,4.38,122355,Low Maturity,Strategy,5000000,10000000,4/28/14,-12,-6,https://play.google.com/store/apps/details?id=com.camelgames.fantasyland
152,King's Empire,tap4fun,1.8.0,$0.00 ,4.24,73132,Low Maturity,Strategy,1000000,5000000,5/8/14,4,21,https://play.google.com/store/apps/details?id=com.tap4fun.kings_empire
153,Angry Birds,Rovio Mobile Ltd.,4.1.0,$0.00 ,4.46,2719534,Low Maturity,Arcade,100000000,500000000,3/4/14,7,6,https://play.google.com/store/apps/details?id=com.rovio.angrybirds
154,Star Wars: Assault Team,LucasArts,1.2.1,$0.00 ,4.07,52324,Low Maturity,Strategy,1000000,5000000,4/30/14,5,-13,https://play.google.com/store/apps/details?id=com.lucasarts.starwarsccg_goo
155,Slots â€“ Riches of Olympus,Crash Lab Limited,7.1.79,$0.00 ,4.25,6881,Medium Maturity,Casino,100000,500000,4/28/14,0,-33,https://play.google.com/store/apps/details?id=com.zynga.riches
156,Bingo by IGG: Top Bingo+Slots!,IGG.COM,1.3.3,$0.00 ,4.62,54608,Medium Maturity,Casino,1000000,5000000,4/29/14,3,11,https://play.google.com/store/apps/details?id=com.igg.bzbee.bingobyigg
157,Throne Rush,NEXTERS LIMITED,Varies with device,$0.00 ,4.38,153621,Medium Maturity,Strategy,1000000,5000000,4/25/14,5,4,https://play.google.com/store/apps/details?id=com.progrestar.bft
158,Legends at War,"GREE, INC",1.6.9,$0.00 ,4.07,24834,Medium Maturity,Role Playing,500000,1000000,4/30/14,-21,-83,https://play.google.com/store/apps/details?id=jp.gree.legendsatwar
159,Angry Birds Go!,Rovio Mobile Ltd.,1.3.0,$0.00 ,4.15,1494887,Low Maturity,Racing,10000000,50000000,5/6/14,-3,13,https://play.google.com/store/apps/details?id=com.rovio.angrybirdsgo
160,Zombie Assault:Sniper,FT Games,1.09,$0.00 ,4.16,61474,Medium Maturity,Action,1000000,5000000,4/25/14,6,12,https://play.google.com/store/apps/details?id=com.feelingtouch.sniperzombie
161,Township,Playrix Games,1.3.1,$0.00 ,4.31,122506,Everyone,Simulation,1000000,5000000,5/1/14,2,1,https://play.google.com/store/apps/details?id=com.playrix.township
162,Disco Bees,"Space Inch, LLC",Varies with device,$0.00 ,4.24,29433,Everyone,Puzzle,1000000,5000000,5/1/14,2,13,https://play.google.com/store/apps/details?id=com.SpaceInch.DiscoBees
163,Rage of the Immortals,"GREE, INC",Varies with device,$0.00 ,4.12,50452,Medium Maturity,Role Playing,1000000,5000000,5/7/14,-7,13,https://play.google.com/store/apps/details?id=com.iugome.day
164,Fashion Story: Mother's Day,TeamLava Games,1.5.6.4,$0.00 ,4.19,8821,Everyone,Casual,100000,500000,4/24/14,3,-41,https://play.google.com/store/apps/details?id=com.teamlava.fashionstory36
165,Texas Poker,KamaGames,4.5.1,$0.00 ,4.15,77695,Medium Maturity,Card,10000000,50000000,2/23/14,8,22,https://play.google.com/store/apps/details?id=com.kamagames.pokerist
166,Paramon,4inch,1.0.23,$0.00 ,3.81,4407,Low Maturity,Adventure,100000,500000,3/12/14,-1,1,https://play.google.com/store/apps/details?id=cn.fangcun_mxm_en
167,FoxFi Key (supports PdaNet),FoxFi Service,1.03,$7.95 ,3.88,6993,Everyone,Communication,500000,1000000,8/2/13,2,6,https://play.google.com/store/apps/details?id=com.foxfi.key
168,Battle Alert,Empire Game Studio,4.3.0,$0.00 ,4.05,76104,Medium Maturity,Role Playing,5000000,10000000,5/7/14,2,13,https://play.google.com/store/apps/details?id=com.elex.ram
169,Spirit Stones,GAMEVIL Inc.,1.1.9,$0.00 ,4.29,86373,Medium Maturity,Puzzle,1000000,5000000,4/24/14,5,34,https://play.google.com/store/apps/details?id=com.gamevil.spiritstones.global.free
170,WhatsApp Messenger,WhatsApp Inc.,2.11.238,$0.00 ,4.45,12641916,Medium Maturity,Communication,500000000,1000000000,5/6/14,-1,7,https://play.google.com/store/apps/details?id=com.whatsapp
171,Deadman's Cross,"SQUARE ENIX Co.,Ltd.",1.1.1,$0.00 ,3.65,33842,Medium Maturity,Role Playing,1000000,5000000,4/30/14,-1,32,https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.deadmanscrossww
172,Drag Racing,Creative Mobile Games,1.6.20,$0.00 ,4.46,1438518,Low Maturity,Racing,100000000,500000000,4/25/14,-1,-3,https://play.google.com/store/apps/details?id=com.creativemobile.DragRacing
173,The Walking Dead: Season One,Telltale Games,Varies with device,$0.00 ,4.47,212529,High Maturity,Adventure,1000000,5000000,4/29/14,4,36,https://play.google.com/store/apps/details?id=com.telltalegames.walkingdead100
174,Slot Bonanza-FREE Casino Slots,Infiapps Ltd,Varies with device,$0.00 ,4.35,12796,High Maturity,Casino,500000,1000000,4/28/14,-2,-15,https://play.google.com/store/apps/details?id=com.infiapps.slotbonanza
175,Viber,Viber Media S.Ã  r.l.,4.3.1.21,$0.00 ,4.35,3652594,Medium Maturity,Communication,100000000,500000000,4/29/14,-2,3,https://play.google.com/store/apps/details?id=com.viber.voip
176,Top Eleven Be a Soccer Manager,Nordeus,2.23,$0.00 ,4.46,808602,Everyone,Sports,10000000,50000000,4/24/14,-2,-167,https://play.google.com/store/apps/details?id=eu.nordeus.topeleven.android
177,Pixel Gun 3D,RiliSoft Ltd,6.1.5,$0.00 ,4.39,150364,Everyone,Action,1000000,5000000,5/8/14,-12,-23,https://play.google.com/store/apps/details?id=com.pixel.gun3d
178,Avengers Alliance,Marvel Games,3.1.1,$0.00 ,3.96,153228,Low Maturity,Action,5000000,10000000,4/4/14,10,16,https://play.google.com/store/apps/details?id=com.marvel.avengersalliance_goo
179,Brightwood Adventures,"Kiwi, Inc.",2.5.3,$0.00 ,4.41,85628,Everyone,Casual,1000000,5000000,3/21/14,5,13,https://play.google.com/store/apps/details?id=com.kiwi.wabeta
180,The Price Is Rightâ„¢ Bingo,Ludia Inc.,1.7.18,$0.00 ,4.35,6367,Low Maturity,Casino,100000,500000,4/22/14,5,9,https://play.google.com/store/apps/details?id=air.com.ludia.tpirbingo
181,Bakery Story: Motherâ€™s Day,TeamLava Games,1.5.5.7.8,$0.00 ,4.49,6306,Everyone,Casual,100000,500000,5/1/14,-10,,https://play.google.com/store/apps/details?id=com.teamlava.bakerystory36
182,Soul Guardians: Age of Midgard,ZQGame Inc,1.1.2,$0.00 ,4.36,5002,Low Maturity,Action,50000,100000,5/8/14,-6,,https://play.google.com/store/apps/details?id=com.zqgame.SG.en.androidgp
183,Magic Piano by Smule,Smule,2.0.2,$0.00 ,4.13,220287,Low Maturity,Music & Audio,10000000,50000000,5/6/14,2,-4,https://play.google.com/store/apps/details?id=com.smule.magicpiano
184,G.I. JOE: BATTLEGROUND,Mobage,2.5.2.6.0,$0.00 ,4.09,11474,Medium Maturity,Arcade,1000000,5000000,5/7/14,4,30,https://play.google.com/store/apps/details?id=com.mobage.ww.a1544.gi_joe_Android
185,Asphalt 8: Airborne,Gameloft,Varies with device,$0.00 ,4.46,1228466,Medium Maturity,Racing,10000000,50000000,4/24/14,2,11,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftA8HM
186,Fresh Deck Poker - Live Holdem,"Idle Games, Inc",Varies with device,$0.00 ,4.58,32295,Medium Maturity,Casino,1000000,5000000,5/1/14,2,-36,https://play.google.com/store/apps/details?id=com.idlegames.eldorado
187,Real Steel World Robot Boxing,Zapak Mobile Games Pvt. Ltd,7.7.141,$0.00 ,4.48,569858,Medium Maturity,Action,10000000,50000000,4/30/14,0,-4,https://play.google.com/store/apps/details?id=com.jumpgames.rswrb
188,Battle of Zombies: Clans MMO,OkApp,1.0.81,$0.00 ,4.09,70765,Medium Maturity,Strategy,1000000,5000000,4/30/14,3,15,https://play.google.com/store/apps/details?id=air.BattleofZombies
189,FRONTLINE COMMANDO 2,Glu,2.0.0,$0.00 ,4.25,375146,Medium Maturity,Action,5000000,10000000,5/6/14,-13,-45,https://play.google.com/store/apps/details?id=com.glu.flc2
190,SLINGSHOT BRAVES,"COLOPL, Inc.",1.0.18,$0.00 ,4.14,36129,Low Maturity,Role Playing,500000,1000000,5/1/14,4,39,https://play.google.com/store/apps/details?id=jp.colopl.enslingshot
191,Lookout Security & Antivirus,Lookout Mobile Security,Varies with device,$0.00 ,4.49,654137,Low Maturity,Productivity,50000000,100000000,5/1/14,-5,1,https://play.google.com/store/apps/details?id=com.lookout
192,GREE,"GREE, Inc.",3.0.7,$0.00 ,2.58,22825,Low Maturity,Social,5000000,10000000,4/20/14,-3,13,https://play.google.com/store/apps/details?id=jp.gree.android.app
193,Jewel Maniaâ„¢,TeamLava Games,1.1.9.9,$0.00 ,3.72,70431,Everyone,Arcade,5000000,10000000,2/25/14,1,-14,https://play.google.com/store/apps/details?id=com.teamlava.jewel
194,Road Riot For Tango,Tango,1.12.12,$0.00 ,4.31,68608,Low Maturity,Racing,1000000,5000000,5/2/14,12,-32,https://play.google.com/store/apps/details?id=me.tango.roadriot
195,Slots by Jackpotjoy,Gamesys Ltd.,0.11.00,$0.00 ,4.19,16215,Medium Maturity,Casino,1000000,5000000,3/25/14,-2,-23,https://play.google.com/store/apps/details?id=air.com.gamesys.mobile.slots.jpj
196,ONLINE RPG AVABEL,"Asobimo, Inc.",2.5.4,$0.00 ,4.3,135256,Medium Maturity,Role Playing,1000000,5000000,5/9/14,3,28,https://play.google.com/store/apps/details?id=com.asobimo.avabel_gp_b3
197,MADDEN NFL 25 by EA SPORTSâ„¢,Electronic Arts Inc,Varies with device,$0.00 ,4.3,108320,Everyone,Sports,1000000,5000000,12/23/13,-1,-2,https://play.google.com/store/apps/details?id=com.ea.game.maddenmobile2014_na
198,"Vault-Hide SMS, Pics & Videos",NQ Mobile Security (NYSE:NQ),5.0.04.22,$0.00 ,4.43,314040,Low Maturity,Business,10000000,50000000,4/9/14,8,22,https://play.google.com/store/apps/details?id=com.netqin.ps
199,TETRISÂ® Blitz,Electronic Arts Inc,1.6.1,$0.00 ,4.44,106548,Everyone,Puzzle,1000000,5000000,5/5/14,0,-10,https://play.google.com/store/apps/details?id=com.ea.tetrisblitz_na
200,9 Innings: 2014 Pro Baseball,Com2uS,4.0.0,$0.00 ,4.57,297977,Everyone,Sports,5000000,10000000,4/18/14,6,19,https://play.google.com/store/apps/details?id=com.com2us.nipb2013.normal.freefull.google.global.android.common
201,Dragon Storyâ„¢,TeamLava Games,1.0.7.7,$0.00 ,4.22,116371,Everyone,Casual,5000000,10000000,1/16/14,1,23,https://play.google.com/store/apps/details?id=com.teamlava.dragon
202,Throne Wars,flaregames,1.3.1,$0.00 ,4.13,34370,Low Maturity,Strategy,1000000,5000000,5/6/14,-3,9,https://play.google.com/store/apps/details?id=com.flaregames.gameofknights
203,Nemo's Reef,Disney,1.6.0,$0.00 ,4.17,139646,Everyone,Strategy,10000000,50000000,4/23/14,-6,17,https://play.google.com/store/apps/details?id=com.disney.nemo
204,Angry Birds Friends,Rovio Mobile Ltd.,1.4.2,$0.00 ,4.2,236754,Low Maturity,Arcade,10000000,50000000,4/8/14,1,-10,https://play.google.com/store/apps/details?id=com.rovio.angrybirdsfriends
205,Family FeudÂ® & Friends,Ludia Inc.,1.4.15,$0.00 ,4.39,309097,Medium Maturity,Trivia,10000000,50000000,10/11/13,1,2,https://play.google.com/store/apps/details?id=com.ludia.familyfeudandfriends.free
206,Bingo PartyLand,Mobage,1.0.7,$0.00 ,4.03,6161,Everyone,Casino,500000,1000000,5/5/14,-9,-92,https://play.google.com/store/apps/details?id=com.mobage.ww.a1439.Bingo_PartyLand_Android
207,ì„¸ë¸êë‚˜ìù´ì¸  for Kakao,CJ E&M corp.,1.15,$0.00 ,4.35,137095,Everyone,Role Playing,1000000,5000000,4/29/14,-1,43,https://play.google.com/store/apps/details?id=com.cjenm.sknights
208,Words With Friends Free,Crash Lab Limited,Varies with device,$0.00 ,4.31,1547549,Medium Maturity,Word,10000000,50000000,4/7/14,1,-5,https://play.google.com/store/apps/details?id=com.zynga.words
209,Ice Age Village,Gameloft,Varies with device,$0.00 ,4.41,1101335,Everyone,Casual,10000000,50000000,4/24/14,-11,24,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftIAHM
210,Scramble With Friends Free,Crash Lab Limited,Varies with device,$0.00 ,4.57,397684,Medium Maturity,Word,10000000,50000000,5/9/14,0,-9,https://play.google.com/store/apps/details?id=com.zynga.scramble
211,Lord of the Dragons,KLab Global Pte. Ltd.,1.11.0,$0.00 ,4.11,7835,Medium Maturity,Casual,500000,1000000,4/23/14,0,13,https://play.google.com/store/apps/details?id=com.klab.lods.en
212,Restaurant Story: Springtime,TeamLava Games,1.5.5.7.8,$0.00 ,4.16,19428,Everyone,Casual,500000,1000000,3/27/14,0,2,https://play.google.com/store/apps/details?id=com.teamlava.restaurantstory35
213,Smurfs' Village,"Beeline Interactive, Inc.",SmurfsAndroid,$0.00 ,4.53,573621,Low Maturity,Casual,10000000,50000000,4/15/14,-1,16,https://play.google.com/store/apps/details?id=com.capcom.smurfsandroid
214,Party in my Dorm,"A Thinking Ape, Inc.",2.59,$0.00 ,4.13,20743,Medium Maturity,Casual,1000000,5000000,1/16/14,-3,22,https://play.google.com/store/apps/details?id=ata.squid.pimd
215,Tagged - Meet New People,Tagged Inc,Varies with device,$0.00 ,4.11,277054,High Maturity,Social,5000000,10000000,4/15/14,2,,https://play.google.com/store/apps/details?id=com.taggedapp
216,MY LITTLE PONY,Gameloft,1.8.1a,$0.00 ,4.39,288180,Everyone,Casual,10000000,50000000,4/15/14,-8,-15,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftPOHM
217,Heroes of Atlan,"WeMade Entertainment CO., LTD",1.1.5,$0.00 ,4.3,26244,Everyone,Role Playing,100000,500000,4/28/14,-10,-66,https://play.google.com/store/apps/details?id=com.lx.HeroesOfAtlan
218,XCOMÂ®: Enemy Unknown,"2K Games, Inc.",1.0.0,$9.99 ,4.6,3992,Medium Maturity,Strategy,10000,50000,4/23/14,17,116,https://play.google.com/store/apps/details?id=com.tt2kgames.xcomeu
219,Solitaire TriPeaks by GSN,GSN.com,1.0.13191,$0.00 ,4.17,10578,Low Maturity,Card,500000,1000000,5/8/14,-6,-65,https://play.google.com/store/apps/details?id=com.gsn.android.tripeaks
220,Bingo Rush 2,"Buffalo Studios, LLC",2.12.0,$0.00 ,4.09,9401,Medium Maturity,Casino,500000,1000000,4/29/14,4,36,https://play.google.com/store/apps/details?id=air.com.buffalo_studios.bingorush2
221,Royal Revolt 2,flaregames,1.2.1,$0.00 ,4.42,97153,Low Maturity,Action,1000000,5000000,4/23/14,-7,1,https://play.google.com/store/apps/details?id=com.flaregames.rrtournament
222,Baldur's Gate Enhanced Edition,Beamdog,Varies with device,$9.99 ,4.57,2955,Medium Maturity,Role Playing,10000,50000,4/25/14,-9,-6,https://play.google.com/store/apps/details?id=com.beamdog.baldursgateenhancededition
223,Crime Inc.,Uken Games,Varies with device,$0.00 ,4.37,12812,Medium Maturity,Role Playing,500000,1000000,4/28/14,-18,-7,https://play.google.com/store/apps/details?id=com.uken.android.crimeinc
224,Bubble Maniaâ„¢,TeamLava Games,1.1.4.4,$0.00 ,4.17,162792,Everyone,Arcade,10000000,50000000,8/26/13,18,13,https://play.google.com/store/apps/details?id=com.teamlava.bubble
225,Diamond Dash,Wooga,Varies with device,$0.00 ,4.52,727741,Low Maturity,Arcade,10000000,50000000,4/22/14,7,-10,https://play.google.com/store/apps/details?id=com.wooga.diamonddash
226,Grand Theft Auto: San Andreas,"Rockstar Games, Inc.",1.05,$6.99 ,4.33,48052,High Maturity,Action,100000,500000,3/21/14,-3,2,https://play.google.com/store/apps/details?id=com.rockstargames.gtasa
227,Norton Security & Antivirus,Symantec Corporation,3.8.6.1520,$0.00 ,4.43,285161,Low Maturity,Tools,10000000,50000000,4/24/14,1,47,https://play.google.com/store/apps/details?id=com.symantec.mobilesecurity
228,Clash of Lords,IGG.COM,1.0.298,$0.00 ,4.55,186553,Medium Maturity,Strategy,1000000,5000000,2/18/14,-10,-14,https://play.google.com/store/apps/details?id=com.igg.clash_of_lords
229,X-Men: Battle of the Atom,Aeria Games Europe,1.4,$0.00 ,3.69,2509,Medium Maturity,Role Playing,50000,100000,5/6/14,10,59,https://play.google.com/store/apps/details?id=com.aeriamobile.android.xmen
230,Hungry Shark Evolution,Future Games of London,2.3.1,$0.00 ,4.43,724950,Medium Maturity,Arcade,10000000,50000000,5/8/14,7,3,https://play.google.com/store/apps/details?id=com.fgol.HungrySharkEvolution
231,Panda Pop,SGN,1.4.20140425.1744,$0.00 ,4.01,44904,Everyone,Puzzle,1000000,5000000,4/25/14,-1,-22,https://play.google.com/store/apps/details?id=com.sgn.pandapop.gp
232,Coin Dozer,Game Circus LLC,Varies with device,$0.00 ,4.49,622074,Everyone,Casino,10000000,50000000,4/25/14,-4,3,https://play.google.com/store/apps/details?id=com.leftover.CoinDozer
233,DC Comics,comiXology,3.5.1.35106,$0.00 ,4.16,7486,Low Maturity,Comics,1000000,5000000,3/7/14,-7,-21,https://play.google.com/store/apps/details?id=com.dccomics.comics
234,Magisto Video Editor & Maker,Magisto,Varies with device,$0.00 ,4.34,307175,Medium Maturity,Photography,10000000,50000000,5/1/14,-13,-45,https://play.google.com/store/apps/details?id=com.magisto
235,Ultimate Guitar Tabs & Chords,Ultimate Guitar USA LLC,3.4.0,$2.99 ,4.58,40608,Low Maturity,Music & Audio,500000,1000000,5/8/14,-8,-5,https://play.google.com/store/apps/details?id=com.ultimateguitar.tabs
236,Bike Race Free - Top Free Game,Top Free Games.,3.6.2,$0.00 ,4.55,704476,Low Maturity,Action,10000000,50000000,4/23/14,-3,19,https://play.google.com/store/apps/details?id=com.topfreegames.bikeracefreeworld
237,Bingo,Alisa Casino,1.0.14,$0.00 ,4.36,59169,Medium Maturity,Casino,500000,1000000,4/27/14,0,31,https://play.google.com/store/apps/details?id=air.com.alisacasino.bingo
238,Next Launcher 3D Shell,GO Launcher Dev Team,3.1,$16.99 ,4.54,34353,Everyone,Personalization,100000,500000,4/18/14,-4,-1,https://play.google.com/store/apps/details?id=com.gtp.nextlauncher
239,Wild Bingo - FREE Bingo+Slots,Dragonplay,1.76,$0.00 ,4.35,128291,Medium Maturity,Casino,1000000,5000000,12/25/13,4,16,https://play.google.com/store/apps/details?id=com.dragonplay.wildbingo
240,NASCAR MOBILE,"NASCAR Digital Media, LLC",3.2.0.33,$0.00 ,4.01,31226,Everyone,Sports,1000000,5000000,5/5/14,-20,-207,https://play.google.com/store/apps/details?id=com.nascar.nascarmobile
241,DEAD TRIGGER 2,MADFINGER Games,Varies with device,$0.00 ,4.5,584933,High Maturity,Action,5000000,10000000,3/19/14,8,25,https://play.google.com/store/apps/details?id=com.madfingergames.deadtrigger2
242,Airport City,GIGL,Varies with device,$0.00 ,4.51,393298,Everyone,Simulation,5000000,10000000,4/10/14,-19,-28,https://play.google.com/store/apps/details?id=com.gameinsight.airport
243,R.B.I. Baseball 14,"MLB Advanced Media, L.P.",1,$4.99 ,4.08,150,Everyone,Sports,1000,5000,5/8/14,-78,,https://play.google.com/store/apps/details?id=com.mlb.RBIBaseball
244,Slotsâ„¢,Shark Party Games,1.1.4.2,$0.00 ,4.16,46817,Medium Maturity,Card,5000000,10000000,8/26/13,14,-76,https://play.google.com/store/apps/details?id=com.sharkparty.slots
245,Grepolis,InnoGames GmbH,2.60.0,$0.00 ,4.26,64862,Medium Maturity,Strategy,1000000,5000000,5/4/14,0,33,https://play.google.com/store/apps/details?id=air.com.innogames.grepolis
246,Slots Fairytale: FREE SLOTS,Slots Fairytale LLC,1.108,$0.00 ,4.46,9493,Medium Maturity,Casino,500000,1000000,5/6/14,0,25,https://play.google.com/store/apps/details?id=com.slotsfairytale.slots.android
247,AntiVirus Security - FREE,AVG Mobile,Varies with device,$0.00 ,4.4,1678226,Low Maturity,Communication,100000000,500000000,4/11/14,-12,-31,https://play.google.com/store/apps/details?id=com.antivirus
248,Paperama,FDG Entertainment GmbH & Co.KG,1.1.0,$0.00 ,4.42,500268,Everyone,Puzzle,5000000,10000000,5/8/14,-2,-76,https://play.google.com/store/apps/details?id=com.fdgentertainment.paperama
249,Arcane Legends,Spacetime Games,1.0.9.0,$0.00 ,4.47,158775,Low Maturity,Role Playing,10000000,50000000,1/2/14,15,48,https://play.google.com/store/apps/details?id=sts.al
250,Paradise Island,GIGL,2.6.8,$0.00 ,4.6,907604,Everyone,Simulation,10000000,50000000,5/5/14,-37,7,https://play.google.com/store/apps/details?id=com.seventeenbullets.android.island
251,Eternal Uprising: End of Days,Kabam,1.2.0,$0.00 ,4.04,8748,Medium Maturity,Card,100000,500000,5/7/14,30,47,https://play.google.com/store/apps/details?id=com.kabam.eternal.android
252,Stilland War HD(Adventure RPG),UGAMEHOME TECHNOLOGY,1.6.0,$0.00 ,4,10859,Medium Maturity,Role Playing,500000,1000000,4/10/14,1,-14,https://play.google.com/store/apps/details?id=com.Ugamehome.StillandWarHD
253,HELLO HEROâ„¢,Fincon,5.0.4,$0.00 ,4.34,96893,Medium Maturity,Role Playing,1000000,5000000,3/23/14,9,45,https://play.google.com/store/apps/details?id=com.fincon.globalHH
254,NBA JAM by EA SPORTSâ„¢,Electronic Arts Inc,02.00.14,$4.99 ,4.15,15521,Everyone,Sports,100000,500000,1/21/14,6,9,https://play.google.com/store/apps/details?id=com.eamobile.nbajam_na_wf
255,SwiftKey Keyboard,SwiftKey,Varies with device,$3.99 ,4.65,427064,Everyone,Productivity,1000000,5000000,4/22/14,6,40,https://play.google.com/store/apps/details?id=com.touchtype.swiftkey
256,Eredan Arena - Card Game - PvP,Feerik,1.8.0,$0.00 ,4.52,39889,Low Maturity,Card,500000,1000000,5/5/14,2,-17,https://play.google.com/store/apps/details?id=air.com.feerik.eredanbattle
257,NASCAR RACEVIEW MOBILE,"NASCAR Digital Media, LLC",3.1.1,$0.00 ,3.86,3186,Everyone,Sports,100000,500000,4/11/14,-32,-225,https://play.google.com/store/apps/details?id=com.nascar.raceviewmobile
258,MONOPOLY Bingo,Electronic Arts Inc,1.3.2,$0.00 ,3.94,20914,Everyone,Casino,1000000,5000000,4/11/14,-4,22,https://play.google.com/store/apps/details?id=com.ea.game.monopolybingo_na
